title; rank; date; artist; chart
Tampa;1;01/05/2021;Cico P;viral50
#BrooklynBloodPop!;2;01/05/2021;SyKo;viral50
Yucky Blucky Fruitcake;3;01/05/2021;Iamdoechii;viral50
After School;4;01/05/2021;Weeekly;viral50
Break it off;5;01/05/2021;PinkPantheress;viral50
Venom;6;01/05/2021;Little Simz;viral50
Body;7;01/05/2021;Russ Millions, Tion Wayne;viral50
Chug Jug With You (Number One Victory Royale);8;01/05/2021;LeviathanJPTV;viral50
I Hear a Symphony;9;01/05/2021;Cody Fry;viral50
Sneaky Link;10;01/05/2021;HXLLYWOOD, Glizzy G;viral50
Rasputin;11;01/05/2021;Majestic, Boney M.;viral50
YKWIM?;12;01/05/2021;Yot Club;viral50
4 Da Gang (with Roddy Ricch);13;01/05/2021;42 Dugg;viral50
Jireh (feat. Chandler Moore & Naomi Raine);14;01/05/2021;Elevation Worship, Maverick City Music;viral50
ghost town (voice memo);15;01/05/2021;Chloe George;viral50
WHOLE LOTTA MONEY;16;01/05/2021;BIA;viral50
Runaway;17;01/05/2021;AURORA;viral50
deja vu;18;01/05/2021;Olivia Rodrigo;viral50
Fiel;19;01/05/2021;Los Legendarios, Wisin, Jhay Cortez;viral50
Prom Night;20;01/05/2021;Riovaz;viral50
Look N The Mirror!;21;01/05/2021;KA$HDAMI;viral50
Spookie Coochie;22;01/05/2021;Iamdoechii;viral50
I Think I Like When It Rains;23;01/05/2021;WILLIS;viral50
Astronaut In The Ocean;24;01/05/2021;Our Last Night;viral50
Freaks;25;01/05/2021;Surf Curse;viral50
MONTERO (Call Me By Your Name);26;01/05/2021;Lil Nas X;viral50
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;27;01/05/2021;Riton, Nightcrawlers;viral50
Astronaut In The Ocean;28;01/05/2021;Masked Wolf;viral50
Romantic Lover;29;01/05/2021;Eyedress;viral50
Leave The Door Open;30;01/05/2021;Bruno Mars, Anderson .Paak, Silk Sonic;viral50
drivers license;31;01/05/2021;Our Last Night;viral50
en el Refuego;32;01/05/2021;Grupo Diez 4tro;viral50
All Your Exes;33;01/05/2021;Julia Michaels;viral50
Serotonin;34;01/05/2021;girl in red;viral50
Good Without;35;01/05/2021;Mimi Webb;viral50
If You Love Her;36;01/05/2021;Forest Blakk;viral50
In the Water (with Quinn XCII);37;01/05/2021;CAL;viral50
Heartbreak Anniversary;38;01/05/2021;Giveon;viral50
Slumber Party (feat. Princess Nokia);39;01/05/2021;Ashnikko;viral50
90s Kids;40;01/05/2021;Jax;viral50
Peaches (feat. Daniel Caesar & Giveon);41;01/05/2021;Justin Bieber;viral50
Best Friend (feat. Doja Cat);42;01/05/2021;Saweetie;viral50
Cloud 9;43;01/05/2021;Beach Bunny;viral50
Pump the Brakes;44;01/05/2021;Dom Dolla;viral50
Ugh;45;01/05/2021;Kawai Sprite;viral50
Baby My Phone;46;01/05/2021;Yameii Online;viral50
BIG PURR (Prrdd) (feat. Pooh Shiesty);47;01/05/2021;Coi Leray;viral50
telepatía;48;01/05/2021;Kali Uchis;viral50
Lil Bit;49;01/05/2021;Nelly, Florida Georgia Line;viral50
Track Star;50;01/05/2021;Mooski;viral50
Tampa;1;02/05/2021;Cico P;viral50
#BrooklynBloodPop!;2;02/05/2021;SyKo;viral50
Yucky Blucky Fruitcake;3;02/05/2021;Iamdoechii;viral50
After School;4;02/05/2021;Weeekly;viral50
Body;5;02/05/2021;Russ Millions, Tion Wayne;viral50
Break it off;6;02/05/2021;PinkPantheress;viral50
Venom;7;02/05/2021;Little Simz;viral50
Sneaky Link;8;02/05/2021;HXLLYWOOD, Glizzy G;viral50
Chug Jug With You (Number One Victory Royale);9;02/05/2021;LeviathanJPTV;viral50
I Hear a Symphony;10;02/05/2021;Cody Fry;viral50
Rasputin;11;02/05/2021;Majestic, Boney M.;viral50
Seventeen;12;02/05/2021;Ladytron;viral50
Jireh (feat. Chandler Moore & Naomi Raine);13;02/05/2021;Elevation Worship, Maverick City Music;viral50
YKWIM?;14;02/05/2021;Yot Club;viral50
WHOLE LOTTA MONEY;15;02/05/2021;BIA;viral50
4 Da Gang (with Roddy Ricch);16;02/05/2021;42 Dugg;viral50
ghost town (voice memo);17;02/05/2021;Chloe George;viral50
Runaway;18;02/05/2021;AURORA;viral50
deja vu;19;02/05/2021;Olivia Rodrigo;viral50
Fiel;20;02/05/2021;Los Legendarios, Wisin, Jhay Cortez;viral50
Prom Night;21;02/05/2021;Riovaz;viral50
Look N The Mirror!;22;02/05/2021;KA$HDAMI;viral50
Astronaut In The Ocean;23;02/05/2021;Our Last Night;viral50
I Think I Like When It Rains;24;02/05/2021;WILLIS;viral50
Freaks;25;02/05/2021;Surf Curse;viral50
Romantic Lover;26;02/05/2021;Eyedress;viral50
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;27;02/05/2021;Riton, Nightcrawlers;viral50
MONTERO (Call Me By Your Name);28;02/05/2021;Lil Nas X;viral50
Astronaut In The Ocean;29;02/05/2021;Masked Wolf;viral50
Leave The Door Open;30;02/05/2021;Bruno Mars, Anderson .Paak, Silk Sonic;viral50
Serotonin;31;02/05/2021;girl in red;viral50
All Your Exes;32;02/05/2021;Julia Michaels;viral50
drivers license;33;02/05/2021;Our Last Night;viral50
en el Refuego;34;02/05/2021;Grupo Diez 4tro;viral50
Good Without;35;02/05/2021;Mimi Webb;viral50
If You Love Her;36;02/05/2021;Forest Blakk;viral50
In the Water (with Quinn XCII);37;02/05/2021;CAL;viral50
Heartbreak Anniversary;38;02/05/2021;Giveon;viral50
Slumber Party (feat. Princess Nokia);39;02/05/2021;Ashnikko;viral50
Peaches (feat. Daniel Caesar & Giveon);40;02/05/2021;Justin Bieber;viral50
90s Kids;41;02/05/2021;Jax;viral50
Cloud 9;42;02/05/2021;Beach Bunny;viral50
Best Friend (feat. Doja Cat);43;02/05/2021;Saweetie;viral50
Pump the Brakes;44;02/05/2021;Dom Dolla;viral50
Ugh;45;02/05/2021;Kawai Sprite;viral50
BIG PURR (Prrdd) (feat. Pooh Shiesty);46;02/05/2021;Coi Leray;viral50
telepatía;47;02/05/2021;Kali Uchis;viral50
Baby My Phone;48;02/05/2021;Yameii Online;viral50
Lil Bit;49;02/05/2021;Nelly, Florida Georgia Line;viral50
Track Star;50;02/05/2021;Mooski;viral50
Beating Down Yo Block;1;03/05/2021;Monaleo;viral50
#BrooklynBloodPop!;2;03/05/2021;SyKo;viral50
Tampa;3;03/05/2021;Cico P;viral50
Kiss Me More (feat. SZA);4;03/05/2021;Doja Cat;viral50
Yucky Blucky Fruitcake;5;03/05/2021;Iamdoechii;viral50
After School;6;03/05/2021;Weeekly;viral50
Venom;7;03/05/2021;Little Simz;viral50
Nightstand;8;03/05/2021;Justus Bennetts;viral50
Body;9;03/05/2021;Russ Millions, Tion Wayne;viral50
Break it off;10;03/05/2021;PinkPantheress;viral50
Seventeen;11;03/05/2021;Ladytron;viral50
Sneaky Link;12;03/05/2021;HXLLYWOOD, Glizzy G;viral50
Rasputin;13;03/05/2021;Majestic, Boney M.;viral50
La Mamá de la Mamá;14;03/05/2021;El Alfa, Chael Produciendo, CJ, El Cherry Scom;viral50
Jireh (feat. Chandler Moore & Naomi Raine);15;03/05/2021;Elevation Worship, Maverick City Music;viral50
I Hear a Symphony;16;03/05/2021;Cody Fry;viral50
Talking To Jesus (feat. Brandon Lake);17;03/05/2021;Elevation Worship, Maverick City Music;viral50
ASAP;18;03/05/2021;STAYC;viral50
WHOLE LOTTA MONEY;19;03/05/2021;BIA;viral50
4 Da Gang (with Roddy Ricch);20;03/05/2021;42 Dugg;viral50
Clap For 'Em (feat. Flo Milli & Sada Baby);21;03/05/2021;YungManny;viral50
Runaway;22;03/05/2021;AURORA;viral50
If You Love Her - feat. Meghan Trainor;23;03/05/2021;Forest Blakk;viral50
YKWIM?;24;03/05/2021;Yot Club;viral50
RAPSTAR;25;03/05/2021;Polo G;viral50
Chug Jug With You (Number One Victory Royale);26;03/05/2021;LeviathanJPTV;viral50
deja vu;27;03/05/2021;Olivia Rodrigo;viral50
Look N The Mirror!;28;03/05/2021;KA$HDAMI;viral50
Freaks;29;03/05/2021;Surf Curse;viral50
I Think I Like When It Rains;30;03/05/2021;WILLIS;viral50
ghost town (voice memo);31;03/05/2021;Chloe George;viral50
Romantic Lover;32;03/05/2021;Eyedress;viral50
Fiel;33;03/05/2021;Los Legendarios, Wisin, Jhay Cortez;viral50
BADASS (with Lil Uzi Vert);34;03/05/2021;ZillaKami;viral50
Prom Night;35;03/05/2021;Riovaz;viral50
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;36;03/05/2021;Riton, Nightcrawlers;viral50
Astronaut In The Ocean;37;03/05/2021;Our Last Night;viral50
Astronaut In The Ocean;38;03/05/2021;Masked Wolf;viral50
Turning Me Up (Hadal Ahbek);39;03/05/2021;Issam Alnajjar, Loud Luxury, Ali Gatie;viral50
Wave of You;40;03/05/2021;Surfaces;viral50
Serotonin;41;03/05/2021;girl in red;viral50
Nobody But You;42;03/05/2021;Sonder, Jorja Smith;viral50
Leave The Door Open;43;03/05/2021;Bruno Mars, Anderson .Paak, Silk Sonic;viral50
MONTERO (Call Me By Your Name);44;03/05/2021;Lil Nas X;viral50
All Your Exes;45;03/05/2021;Julia Michaels;viral50
Shy Away;46;03/05/2021;Twenty One Pilots;viral50
drivers license;47;03/05/2021;Our Last Night;viral50
en el Refuego;48;03/05/2021;Grupo Diez 4tro;viral50
If You Love Her;49;03/05/2021;Forest Blakk;viral50
Best Friend (feat. Doja Cat);50;03/05/2021;Saweetie;viral50
Beating Down Yo Block;1;04/05/2021;Monaleo;viral50
#BrooklynBloodPop!;2;04/05/2021;SyKo;viral50
Tampa;3;04/05/2021;Cico P;viral50
Kiss Me More (feat. SZA);4;04/05/2021;Doja Cat;viral50
Yucky Blucky Fruitcake;5;04/05/2021;Iamdoechii;viral50
After School;6;04/05/2021;Weeekly;viral50
Body;7;04/05/2021;Russ Millions, Tion Wayne;viral50
Venom;8;04/05/2021;Little Simz;viral50
Break it off;9;04/05/2021;PinkPantheress;viral50
Nightstand;10;04/05/2021;Justus Bennetts;viral50
Seventeen;11;04/05/2021;Ladytron;viral50
La Mamá de la Mamá;12;04/05/2021;El Alfa, Chael Produciendo, CJ, El Cherry Scom;viral50
Sneaky Link;13;04/05/2021;HXLLYWOOD, Glizzy G;viral50
Jireh (feat. Chandler Moore & Naomi Raine);14;04/05/2021;Elevation Worship, Maverick City Music;viral50
Rasputin;15;04/05/2021;Majestic, Boney M.;viral50
Talking To Jesus (feat. Brandon Lake);16;04/05/2021;Elevation Worship, Maverick City Music;viral50
I Hear a Symphony;17;04/05/2021;Cody Fry;viral50
ASAP;18;04/05/2021;STAYC;viral50
WHOLE LOTTA MONEY;19;04/05/2021;BIA;viral50
Clap For 'Em (feat. Flo Milli & Sada Baby);20;04/05/2021;YungManny;viral50
4 Da Gang (with Roddy Ricch);21;04/05/2021;42 Dugg;viral50
Runaway;22;04/05/2021;AURORA;viral50
YKWIM?;23;04/05/2021;Yot Club;viral50
If You Love Her - feat. Meghan Trainor;24;04/05/2021;Forest Blakk;viral50
Chug Jug With You (Number One Victory Royale);25;04/05/2021;LeviathanJPTV;viral50
I Think I Like When It Rains;26;04/05/2021;WILLIS;viral50
RAPSTAR;27;04/05/2021;Polo G;viral50
deja vu;28;04/05/2021;Olivia Rodrigo;viral50
Look N The Mirror!;29;04/05/2021;KA$HDAMI;viral50
Romantic Lover;30;04/05/2021;Eyedress;viral50
Freaks;31;04/05/2021;Surf Curse;viral50
ghost town (voice memo);32;04/05/2021;Chloe George;viral50
BADASS (with Lil Uzi Vert);33;04/05/2021;ZillaKami;viral50
Fiel;34;04/05/2021;Los Legendarios, Wisin, Jhay Cortez;viral50
Serotonin;35;04/05/2021;girl in red;viral50
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;36;04/05/2021;Riton, Nightcrawlers;viral50
Astronaut In The Ocean;37;04/05/2021;Masked Wolf;viral50
Turning Me Up (Hadal Ahbek);38;04/05/2021;Issam Alnajjar, Loud Luxury, Ali Gatie;viral50
Prom Night;39;04/05/2021;Riovaz;viral50
Wave of You;40;04/05/2021;Surfaces;viral50
Astronaut In The Ocean;41;04/05/2021;Our Last Night;viral50
Nobody But You;42;04/05/2021;Sonder, Jorja Smith;viral50
Leave The Door Open;43;04/05/2021;Bruno Mars, Anderson .Paak, Silk Sonic;viral50
All Your Exes;44;04/05/2021;Julia Michaels;viral50
Shy Away;45;04/05/2021;Twenty One Pilots;viral50
MONTERO (Call Me By Your Name);46;04/05/2021;Lil Nas X;viral50
Into The Storm;47;04/05/2021;Gojira;viral50
Best Friend (feat. Doja Cat);48;04/05/2021;Saweetie;viral50
en el Refuego;49;04/05/2021;Grupo Diez 4tro;viral50
drivers license;50;04/05/2021;Our Last Night;viral50
Beating Down Yo Block;1;05/05/2021;Monaleo;viral50
#BrooklynBloodPop!;2;05/05/2021;SyKo;viral50
Tampa;3;05/05/2021;Cico P;viral50
Kiss Me More (feat. SZA);4;05/05/2021;Doja Cat;viral50
Yucky Blucky Fruitcake;5;05/05/2021;Iamdoechii;viral50
After School;6;05/05/2021;Weeekly;viral50
Body;7;05/05/2021;Russ Millions, Tion Wayne;viral50
Venom;8;05/05/2021;Little Simz;viral50
Break it off;9;05/05/2021;PinkPantheress;viral50
Jireh (feat. Chandler Moore & Naomi Raine);10;05/05/2021;Elevation Worship, Maverick City Music;viral50
Nightstand;11;05/05/2021;Justus Bennetts;viral50
Seventeen;12;05/05/2021;Ladytron;viral50
La Mamá de la Mamá;13;05/05/2021;El Alfa, Chael Produciendo, CJ, El Cherry Scom;viral50
Sneaky Link;14;05/05/2021;HXLLYWOOD, Glizzy G;viral50
Rasputin;15;05/05/2021;Majestic, Boney M.;viral50
Talking To Jesus (feat. Brandon Lake);16;05/05/2021;Elevation Worship, Maverick City Music;viral50
WHOLE LOTTA MONEY;17;05/05/2021;BIA;viral50
ASAP;18;05/05/2021;STAYC;viral50
I Hear a Symphony;19;05/05/2021;Cody Fry;viral50
4 Da Gang (with Roddy Ricch);20;05/05/2021;42 Dugg;viral50
Clap For 'Em (feat. Flo Milli & Sada Baby);21;05/05/2021;YungManny;viral50
YKWIM?;22;05/05/2021;Yot Club;viral50
Runaway;23;05/05/2021;AURORA;viral50
I Think I Like When It Rains;24;05/05/2021;WILLIS;viral50
If You Love Her - feat. Meghan Trainor;25;05/05/2021;Forest Blakk;viral50
Chug Jug With You (Number One Victory Royale);26;05/05/2021;LeviathanJPTV;viral50
RAPSTAR;27;05/05/2021;Polo G;viral50
deja vu;28;05/05/2021;Olivia Rodrigo;viral50
Look N The Mirror!;29;05/05/2021;KA$HDAMI;viral50
Romantic Lover;30;05/05/2021;Eyedress;viral50
Freaks;31;05/05/2021;Surf Curse;viral50
Serotonin;32;05/05/2021;girl in red;viral50
BADASS (with Lil Uzi Vert);33;05/05/2021;ZillaKami;viral50
ghost town (voice memo);34;05/05/2021;Chloe George;viral50
Fiel;35;05/05/2021;Los Legendarios, Wisin, Jhay Cortez;viral50
Astronaut In The Ocean;36;05/05/2021;Masked Wolf;viral50
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;37;05/05/2021;Riton, Nightcrawlers;viral50
Prom Night;38;05/05/2021;Riovaz;viral50
Turning Me Up (Hadal Ahbek);39;05/05/2021;Issam Alnajjar, Loud Luxury, Ali Gatie;viral50
Wave of You;40;05/05/2021;Surfaces;viral50
Nobody But You;41;05/05/2021;Sonder, Jorja Smith;viral50
Astronaut In The Ocean;42;05/05/2021;Our Last Night;viral50
All Your Exes;43;05/05/2021;Julia Michaels;viral50
Leave The Door Open;44;05/05/2021;Bruno Mars, Anderson .Paak, Silk Sonic;viral50
Shy Away;45;05/05/2021;Twenty One Pilots;viral50
MONTERO (Call Me By Your Name);46;05/05/2021;Lil Nas X;viral50
Into The Storm;47;05/05/2021;Gojira;viral50
Best Friend (feat. Doja Cat);48;05/05/2021;Saweetie;viral50
Looking Out for You;49;05/05/2021;Joy Again;viral50
en el Refuego;50;05/05/2021;Grupo Diez 4tro;viral50
#BrooklynBloodPop!;1;06/05/2021;SyKo;viral50
Beating Down Yo Block;2;06/05/2021;Monaleo;viral50
Tampa;3;06/05/2021;Cico P;viral50
Kiss Me More (feat. SZA);4;06/05/2021;Doja Cat;viral50
After School;5;06/05/2021;Weeekly;viral50
Yucky Blucky Fruitcake;6;06/05/2021;Iamdoechii;viral50
Body;7;06/05/2021;Russ Millions, Tion Wayne;viral50
Jireh (feat. Chandler Moore & Naomi Raine);8;06/05/2021;Elevation Worship, Maverick City Music;viral50
Break it off;9;06/05/2021;PinkPantheress;viral50
Venom;10;06/05/2021;Little Simz;viral50
La Mamá de la Mamá;11;06/05/2021;El Alfa, Chael Produciendo, CJ, El Cherry Scom;viral50
Sneaky Link;12;06/05/2021;HXLLYWOOD, Glizzy G;viral50
Seventeen;13;06/05/2021;Ladytron;viral50
Talking To Jesus (feat. Brandon Lake);14;06/05/2021;Elevation Worship, Maverick City Music;viral50
Rasputin;15;06/05/2021;Majestic, Boney M.;viral50
WHOLE LOTTA MONEY;16;06/05/2021;BIA;viral50
ASAP;17;06/05/2021;STAYC;viral50
YKWIM?;18;06/05/2021;Yot Club;viral50
I Hear a Symphony;19;06/05/2021;Cody Fry;viral50
4 Da Gang (with Roddy Ricch);20;06/05/2021;42 Dugg;viral50
I Think I Like When It Rains;21;06/05/2021;WILLIS;viral50
Runaway;22;06/05/2021;AURORA;viral50
Clap For 'Em (feat. Flo Milli & Sada Baby);23;06/05/2021;YungManny;viral50
If You Love Her - feat. Meghan Trainor;24;06/05/2021;Forest Blakk;viral50
RAPSTAR;25;06/05/2021;Polo G;viral50
Romantic Lover;26;06/05/2021;Eyedress;viral50
deja vu;27;06/05/2021;Olivia Rodrigo;viral50
Look N The Mirror!;28;06/05/2021;KA$HDAMI;viral50
Freaks;29;06/05/2021;Surf Curse;viral50
Serotonin;30;06/05/2021;girl in red;viral50
Fiel;31;06/05/2021;Los Legendarios, Wisin, Jhay Cortez;viral50
Astronaut In The Ocean;32;06/05/2021;Masked Wolf;viral50
BADASS (with Lil Uzi Vert);33;06/05/2021;ZillaKami;viral50
ghost town (voice memo);34;06/05/2021;Chloe George;viral50
Prom Night;35;06/05/2021;Riovaz;viral50
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;36;06/05/2021;Riton, Nightcrawlers;viral50
Turning Me Up (Hadal Ahbek);37;06/05/2021;Issam Alnajjar, Loud Luxury, Ali Gatie;viral50
Nobody But You;38;06/05/2021;Sonder, Jorja Smith;viral50
Wave of You;39;06/05/2021;Surfaces;viral50
Astronaut In The Ocean;40;06/05/2021;Our Last Night;viral50
All Your Exes;41;06/05/2021;Julia Michaels;viral50
Leave The Door Open;42;06/05/2021;Bruno Mars, Anderson .Paak, Silk Sonic;viral50
Shy Away;43;06/05/2021;Twenty One Pilots;viral50
MONTERO (Call Me By Your Name);44;06/05/2021;Lil Nas X;viral50
Into The Storm;45;06/05/2021;Gojira;viral50
Looking Out for You;46;06/05/2021;Joy Again;viral50
Best Friend (feat. Doja Cat);47;06/05/2021;Saweetie;viral50
If You Love Her;48;06/05/2021;Forest Blakk;viral50
Heat Waves;49;06/05/2021;Glass Animals;viral50
Amazonia;50;06/05/2021;Gojira;viral50
#BrooklynBloodPop!;1;07/05/2021;SyKo;viral50
Beating Down Yo Block;2;07/05/2021;Monaleo;viral50
Tampa;3;07/05/2021;Cico P;viral50
Poblado;4;07/05/2021;Crissin, Totoy El Frio, Natan & Shander;viral50
After School;5;07/05/2021;Weeekly;viral50
Kiss Me More (feat. SZA);6;07/05/2021;Doja Cat;viral50
Body;7;07/05/2021;Russ Millions, Tion Wayne;viral50
Yucky Blucky Fruitcake;8;07/05/2021;Iamdoechii;viral50
Cancun (SEGA EDITION);9;07/05/2021;ScrewStache;viral50
La Mamá de la Mamá;10;07/05/2021;El Alfa, Chael Produciendo, CJ, El Cherry Scom;viral50
Break it off;11;07/05/2021;PinkPantheress;viral50
Jireh (feat. Chandler Moore & Naomi Raine);12;07/05/2021;Elevation Worship, Maverick City Music;viral50
Venom;13;07/05/2021;Little Simz;viral50
Rasputin;14;07/05/2021;Majestic, Boney M.;viral50
Sneaky Link;15;07/05/2021;HXLLYWOOD, Glizzy G;viral50
Seventeen;16;07/05/2021;Ladytron;viral50
WHOLE LOTTA MONEY;17;07/05/2021;BIA;viral50
Talking To Jesus (feat. Brandon Lake);18;07/05/2021;Elevation Worship, Maverick City Music;viral50
YKWIM?;19;07/05/2021;Yot Club;viral50
ASAP;20;07/05/2021;STAYC;viral50
I Hear a Symphony;21;07/05/2021;Cody Fry;viral50
4 Da Gang (with Roddy Ricch);22;07/05/2021;42 Dugg;viral50
I Think I Like When It Rains;23;07/05/2021;WILLIS;viral50
Salt Lime & Tequila;24;07/05/2021;Ryan Griffin;viral50
Runaway;25;07/05/2021;AURORA;viral50
If You Love Her - feat. Meghan Trainor;26;07/05/2021;Forest Blakk;viral50
Clap For 'Em (feat. Flo Milli & Sada Baby);27;07/05/2021;YungManny;viral50
Look N The Mirror!;28;07/05/2021;KA$HDAMI;viral50
RAPSTAR;29;07/05/2021;Polo G;viral50
Romantic Lover;30;07/05/2021;Eyedress;viral50
Freaks;31;07/05/2021;Surf Curse;viral50
deja vu;32;07/05/2021;Olivia Rodrigo;viral50
BADASS (with Lil Uzi Vert);33;07/05/2021;ZillaKami;viral50
Astronaut In The Ocean;34;07/05/2021;Masked Wolf;viral50
Fiel;35;07/05/2021;Los Legendarios, Wisin, Jhay Cortez;viral50
Serotonin;36;07/05/2021;girl in red;viral50
Prom Night;37;07/05/2021;Riovaz;viral50
ghost town (voice memo);38;07/05/2021;Chloe George;viral50
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;39;07/05/2021;Riton, Nightcrawlers;viral50
Turning Me Up (Hadal Ahbek);40;07/05/2021;Issam Alnajjar, Loud Luxury, Ali Gatie;viral50
Nobody But You;41;07/05/2021;Sonder, Jorja Smith;viral50
Wave of You;42;07/05/2021;Surfaces;viral50
